Species,bodymass,brainsize
Philemon citreogularis,0.0622,0.00163688
Xanthotis macleayana,0.032,0.00094276
Xanthotis flaviventer,0.035,0.0010878
Plectorhyncha lanceolata,0.04,0.00112924
Grantiella picta,0.0215,0.0007252
Pomatostomus temporalis,0.0695,0.0019684
Pomatostomus halli,0.04,0.0016576
Pomatostomus superciliosus,0.041,0.00157472
Pomatostomus ruficeps,0.055,0.0024346
Orthonyx temminckii,0.059,0.00182336
Orthonyx spaldingii,0.1492,0.0030044
Cinclosoma punctatum,0.1116,0.00218596
Cinclosoma cinnamomeum,0.0568,0.00152292
Psophodes olivaceus,0.0599,0.00225848
Psophodes cristatus,0.04,0.0014504
Psophodes occidentalis,0.039,0.00137788
Daphoenositta chrysoptera,0.0118,0.00063196
Coracina maxima,0.1395,0.0022792
Coracina novaehollandiae,0.115,0.0024864
Coracina papuensis,0.0657,0.00210308
Coracina tenuirostris,0.0666,0.00178192
Lalage sueurii,0.0275,0.00090132
Falcunculus frontatus,0.028,0.00128464
Pachycephala olivacea,0.04,0.00153328
Pachycephala rufogularis,0.037,0.00112924
Pachycephala pectoralis,0.0274,0.00116032
Pachycephala simplex,0.0175,0.00085988
Pachycephala rufiventris,0.0226,0.00106708
Colluricincla megarhyncha,0.0372,0.00138824
Colluricincla harmonica,0.0676,0.002072
Oreoica gutturalis,0.0633,0.00173012
Sphecotheres vieilloti,0.1226,0.00232064
Oriolus flavocinctus,0.0977,0.0021756
Oriolus sagittatus,0.095,0.00203056
Artamus leucorynchus,0.041,0.00111888
Artamus personatus,0.0347,0.00106708
Artamus superciliosus,0.035,0.00107744
Artamus cinereus,0.0377,0.00095312
Artamus cyanopterus,0.035,0.001036
Artamus minor,0.017,0.00053872
Melloria quoyi,0.1744,0.0036778
Cracticus torquatus,0.0907,0.00288008
Cracticus nigrogularis,0.1241,0.00312872
Cracticus tibicen,0.2798,0.0048174
Strepera graculina,0.3048,0.00553224
Strepera fuliginosa,0.3604,0.0059052
Strepera versicolor,0.3845,0.00618492
Dicrurus bracteatus,0.0826,0.0018648
Rhipidura rufifrons,0.0097,0.00037296
Rhipidura albiscapa,0.0078,0.00035224
Rhipidura rufiventris,0.014,0.0005698
Rhipidura leucophrys,0.0207,0.00060088
Corvus coronoides,0.6344,0.01018388
Corvus mellori,0.53,0.008806
