Species,bodymass,brainsize
Canis familiaris,14.56,0.07999
Canis familiaris,12.47,0.08114
Canis familiaris,24.49,0.1059
Canis familiaris,31.75,0.1307
Canis familiaris,26.94,0.0793
Canis familiaris,14.75,0.06653
Canis familiaris,11.26,0.0876
Canis familiaris,23.71,0.08463
Canis familiaris,19.28,0.09
Canis familiaris,38.42,0.0952
Otocyon megalotis,3.335,0.02609
Urocyon cinereoargenteus,NA,0.032
Urocyon cinereoargenteus,3.749,0.03728
Urocyon cinereoargenteus,NA,0.0352
Vulpes fulva,4.625,0.0533
Vulpes lagopus,3.385,0.0445
Crocuta crocuta,62.37,0.175
Canis mesomelas,2.85,0.046
Panthera onca,34.47,0.147
Potos flavus,2.62,0.03105
Panthera pardus,48,0.135
Puma concolor,28.79,0.1067
Ichneumia albicauda,4.4,0.0283
Procyon lotor,5.175,0.04
Procyon lotor,2.226,0.03355
Procyon lotor,4.536,0.0405
Procyon lotor,5.216,0.0427
Mephitis mephitis,1.7,0.0103
Mephitis mephitis,2.26,0.01
Conepatus mesoleucus,NA,0.0155
Conepatus mesoleucus,NA,0.016
Leptailurus serval,9.955,0.06674
Leptailurus serval,5.819,0.05316
Panthera tigris,160,0.225
Panthera tigris,209,0.302
Mustela arctica,0.1693,0.00564
Mustela arctica,0.121,0.00347
Canis lupus,22.68,0.119
Canis lubilus,29.94,0.152
Desmodus rotundus,0.028,0.000936
Tamanduas tetradactyla,3.692,0.025
Dasypus novemcinctus,2.086,0.0095
Dasypus novemcinctus,3.401,0.0075
Bradypus griseus,0.676,0.015
Bradypus griseus,1.115,0.014
Bradypus griseus,1.601,0.013
Bradypus griseus,2.005,NA
Bradypus griseus,2.894,0.015
Bradypus griseus,3.121,0.0151
Bradypus griseus,3.774,0.018
Choloepus hoffmanni,4.825,0.02307
Choloepus hoffmanni,5.271,0.026
Scalopus aquaticus,0.0396,0.00116
Blarina brevicauda,0.0163,0.0003443
Blarina brevicauda,0.0188,0.000352
Didelphis marsupialis,1.147,0.0048
Papio cynocephalus,19.51,0.175
Cercopithecus mitis,1.22,0.0503
Cercopithecus mitis,2.9,0.06146
Cercopithecus mitis,4.55,0.0666
Alouatta palliata,6.174,0.05034
Alouatta palliata,4.309,0.05425
Alouatta palliata,6.577,0.05405
Alouatta palliata,7.938,0.05345
Alouatta palliata,3.119,0.0423
Lagothrix lagothricha,5.26,0.0862
Galago senegalensis,0.2,0.005
Lemur catta,1.725,0.0218
Macacus mulatta,3.627,0.0931
Macacus mulatta,3.292,0.0917
Macacus mulatta,9.163,0.109
Macacus mulatta,8.89,0.118
Ateles dariensis,8.89,0.1184
Cercopithecus sp.,4.937,0.0607
Cercopithecus aethiops,3.955,0.06089
Cebus capucinus,2.718,0.0716
Cebus capucinus,3.833,0.0733
Cebus capucinus,3.101,0.07218
Saimiri oerstedii,0.607,0.0199
Saimiri oerstedii,0.907,0.0253
Saimiri oerstedii,0.603,0.025
Pan troglodytes,25.85,0.4305
Pan troglodytes,56.69,0.44
Pan troglodytes,43.99,0.325
Gorilla gorilla,181,NA
Homo sapiens,57.2,1.248
Homo sapiens,NA,1.297
Homo sapiens,NA,1.268
Homo sapiens,95,1.235
Homo sapiens,42,1.27
Homo sapiens,43.4,1.375
Homo sapiens,49.9,1.4
Homo sapiens,36.3,1.28
Homo sapiens,45,1.19
Homo sapiens,37,1.1
Homo sapiens,45.8,1
Homo sapiens,NA,1.109
Homo sapiens,NA,1.513
Homo sapiens,76.2,1.348
Homo sapiens,86.2,1.265
Homo sapiens,71.2,1.28
Homo sapiens,73,1.365
Homo sapiens,78.5,1.54
Homo sapiens,36,1.327
Homo sapiens,61,1.2
Homo sapiens,46,1.16
Homo sapiens,43,1.24
Homo sapiens,63,1.18
Homo sapiens,43,1.35
Homo sapiens,44,1.3
Homo sapiens,45,1.14
Homo sapiens,51,1.5
Homo sapiens,83,1.42
Homo sapiens,56,1.57
Homo sapiens,61,1.49
Homo sapiens,51,1.31
Homo sapiens,81.6,1.35
Homo sapiens,NA,1.45
Homo sapiens,79.4,1.274
Homo sapiens,81.6,1.13
Homo sapiens,74,1.377
Homo sapiens,50,1.48
Homo sapiens,65.8,1.31
Homo sapiens,74.8,1.41
Homo sapiens,74.3,1.36
Homo sapiens,NA,1.3
Homo sapiens,57,1.351
Homo sapiens,68,1.411
Alligator mississippiensis,52.4,0.00723
Alligator mississippiensis,109,0.0084
Alligator mississippiensis,173,0.0112
Alligator mississippiensis,205,0.01408
Crocodylus acutus,134,0.0156
Heloderma suspectum,0.514,0.000729
Amblyrhynchus cristatus,4.19,0.00144
Lacerta viridis,0.026,0.000134
Coluber constrictor,0.59,0.000271
Coluber constrictor,0.286,0.000303
Coluber constrictor,0.417,0.000299
Boa constrictor,1.829,0.00044
Thamnophis sirtalis,0.052,7.70E-05
Thamnophis sirtalis,0.057,0.000123
Python bivittatus,6.14,0.001123
Agkistrodon piscivorus,0.728,0.00064
Clemmys guttata,2.163,0.00136
Chelydra serpentina,5.125,0.00098
Chelonia mydas,68.04,0.00582
Chelonia mydas,114.3,0.0086
Apalone forex,3.253,0.0025
Macrochelys lacertina,1.848,0.00101
Dasyprocta punctata,3.172,0.01834
Dasyprocta punctata,3.627,0.02185
Dasyprocta punctata,4.559,0.048
Castor canadensis,4.18,0.02548
Castor canadensis,5.83,0.02952
Hydrochoerus isthmius,27.67,0.05221
Tamias striatus,0.075,0.0016
Tamias striatus,NA,0.00222
Tamias striatus,NA,0.00173
Thomomys sp.,NA,0.00133
Thomomys sp.,NA,0.0012
Cavia porcellus,0.351,0.00363
Cavia porcellus,0.361,0.0041
Cavia porcellus,0.324,0.0038
Cavia porcellus,0.21494,0.00332
Cavia porcellus,0.21457,0.00328
Cavia porcellus,0.432,0.004
Cavia porcellus,0.456,0.00423
Lepus capensis,2.93,0.01023
Lepus arcticus,1.901,0.01436
Lepus arcticus,2.64,0.0139
Lemmus trimucronatus,0.032,0.001126
Lemmus trimucronatus,0.048,0.001312
Dicrostonyx groenlandicus,0.0521,0.0008983
Dicrostonyx groenlandicus,0.0552,0.0008447
Mastomys coucha,0.0218,0.0007132
Zapus hudsonicus,0.0193,0.0006961
Zapus hudsonicus,0.0152,0.000522
Microtus drummondi,0.0237,0.0006606
Microtus drummondi,0.0229,0.0006464
Microtus drummondi,0.0325,0.0006724
Microtus pennsylvanicus,0.0252,0.0007166
Microtus pennsylvanicus,0.0279,0.0007394
Microtus pennsylvanicus,0.0413,0.0007635
Peromyscus sp.,0.0122,0.000407
Peromyscus sp.,0.0184,0.0004511
Peromyscus sp.,0.02,0.000443
Ondatra zibethicus,0.9,0.00533
Erethizon dorsatum,2.8,0.03077
Erethizon dorsatum,2.725,0.02122
Erethizon dorsatum,3.41,0.01915
Cynomys gunnisoni,NA,0.0056
Sylvilagus audubonii,NA,0.00725
Lepus sp.,3.68,0.01059
Lepus sp.,2.587,0.01014
Lepus californicus,NA,0.012
Sylvilagus gabbi,0.439,0.0045
Neotoma sp.,NA,0.0022
Neotoma sp.,NA,0.00187
Rattus norvegicus,0.197,0.00161
Rattus norvegicus,0.278,0.0023
Sciurus aberti,NA,0.00625
Callospermophilus sp.,NA,0.003
Spermophilus tridecemlineatus,NA,0.002
Tamiasciurus hudsonicus,0.248,0.00502
Tamiasciurus hudsonicus,0.183,0.00471
Tamiasciurus hudsonicus,0.169,0.00421
Tamiasciurus hudsonicus,0.183,0.00397
Tamiasciurus hudsonicus,0.063,0.00409
Tamiasciurus hudsonicus,NA,0.0043
Tamiasciurus hudsonicus,NA,0.0044
Bison bison,54.88,0.334
Syncerus caffer,750,0.64
Syncerus caffer,572,0.642
Syncerus caffer,759,0.653
Tragelaphus sylvaticus,35.38,0.14
Tragelaphus sylvaticus,53.07,0.19
Rangifer tarandus,71.7,0.278
Rangifer tarandus,128.47,0.306
Rangifer tarandus,62.14,0.285
Emys orbicularis,0.25,0.00025
Testudo graeca,0.32,3.00E-04
Lacerta viridis,0.05,0.000121
Natrix natrix,0.07,1.00E-04
Hierophis viridiflavus,0.22,0.000209
Phrynocephalus przewalskii,NA,8.00E-04
Anolis carolinensis,NA,2.79E-05
Leiocephalus carinatus,NA,7.17E-05
Sceloporus olivaceus,NA,7.16E-05
Hemidactylus turcicus,NA,2.11E-05
Scincella lateralis,NA,9.63E-06
Aspidoscelis gularis,NA,6.67E-05
Anolis cristatellus,NA,9.81E-05
Anolis evermanni,NA,7.26E-05
Anolis gundlachi,NA,9.08E-05
Anolis krugi,NA,5.01E-05
Anolis pulchellus,NA,4.10E-05
Anolis stratulus,NA,7.10E-05
Ctenophorus caudicinctus,0.01528,0.000105838
Ctenophorus cristatus,0.03557,0.00018287
Ctenophorus decresii,0.01608,0.000110859
Ctenophorus fionni,0.01493,9.86E-05
Ctenophorus fordi,0.00399,4.63E-05
Ctenophorus gibba,0.01507,0.000102932
Ctenophorus isolepis,0.00819,6.57E-05
Ctenophorus nuchalis,0.02619,0.000148007
Ctenophorus ornatus,0.02175,0.000117612
Ctenophorus pictus,0.00959,8.35E-05
Ctenophorus rufescens,0.02044,0.000120325
Ctenophorus salinarum,0.00884,8.35E-05
Ctenophorus tjantjalka,0.01056,9.44E-05
Ctenophorus vadnappa,0.01435,0.00010497
Agama inermis,NA,9.90E-05
Calotes versicolor,NA,9.70E-05
Agama agama,NA,0.000173
Uromastyx acanthinurus,NA,0.000335
Anguis fragilis,NA,4.40E-05
Furcifer lateralis,NA,6.10E-05
Caretta caretta,NA,0.0027
Thamnophis sirtalis,NA,1.00E-04
Natrix maura,NA,9.50E-05
Coronella girondica,NA,8.80E-05
Zamenis longissima,NA,0.000168
Coluber constrictor,NA,0.000291
Naja melanoleuca,NA,0.000646
Cerastes vipera,NA,7.60E-05
Vipera berus,NA,0.000105
Vipera aspis,NA,0.0001015
Agkistrodon piscivorus,NA,0.00064
Cordylus cordylus,NA,0.000175
Anolis auratus,NA,7.30E-05
Trachemys scripta,NA,0.000738
Hemidactylus mabouia,NA,3.30E-05
Phelsuma cepediana,NA,5.90E-05
Gekko gecko,NA,0.000198
Zonosaurus quadrilineatus,NA,0.000209
Zonosaurus maximus,NA,0.000565
Ameiva sp.,NA,0.000231
Callopistes maculatus,NA,0.000318
Iguana iguana,NA,0.000606
Psammodromus hispanicus,NA,2.50E-05
Lacerta vivipara,NA,2.80E-05
Lacerta muralis,NA,4.60E-05
Psammodromus algirus,NA,4.50E-05
Lacerta lepida,NA,0.000224
Liolaemus chiliensis,NA,0.0001035
Chalarodon madagascariensis,NA,6.00E-05
Oplurus cuvieri,NA,0.000267
Tarentola mauritanica,NA,7.00E-05
Python molurus,NA,0.0011234
Chalcides mionecton,NA,3.00E-05
Chalcides chalcides,NA,5.55E-05
Chalcides ocellatus,NA,9.00E-05
Scincus scincus,NA,0.000116
Eumeces schneiderii,NA,0.0001715
Testudo gracea,NA,0.000318
Testudo hermanni,NA,0.000476
Trogonophis wiegmanni,NA,2.10E-05
Varanus griseus,NA,0.000722
Phyllodactylus gerrophygus,NA,1.80E-05
Chalcides polylepis,NA,3.70E-05
Ophisaurus apodus,NA,0.000342
Anolis caroliensis,NA,5.50E-05
Bronchocela cristatella,NA,2.90E-05
Draco volans,NA,5.80E-05
Acanthosaura armata,NA,0.000182
Tupinambis teguinix,NA,0.001563
Marpissa bina,0.000168,NA
Phidippus clarus,0.00026,NA
Sarinda hentzi,4.60E-06,NA
Zygoballus rufipes,3.00E-06,NA
Tetranychus cinnabarinus,4.94E-09,NA
Phytoseiulus persimilis,8.59E-09,NA
Pardosa lugubris,2.24E-05,NA
Pardosa lugubris,2.14E-05,NA
Marpissa muscosa,3.91E-05,NA
Marpissa muscosa,2.75E-05,NA
Pholcus phalangioideus,2.76E-05,NA
Pholcus phalangioideus,1.13E-05,NA
Aphonopelma anax,0.01319,NA
Aphonopelma anax,0.00778,NA
Damon annulatipes,0.00064,NA
Metazygia rogenhoferi,1.44E-05,NA
Metazygia rogenhoferi,2.35E-05,NA
Metazygia rogenhoferi,1.60E-05,NA
Metazygia rogenhoferi,1.53E-05,NA
Metazygia rogenhoferi,2.45E-05,NA
Metazygia rogenhoferi,1.72E-05,NA
Metazygia rogenhoferi,1.40E-05,NA
Metazygia rogenhoferi,2.04E-05,NA
Metazygia rogenhoferi,1.55E-05,NA
Metazygia rogenhoferi,1.79E-05,NA
Zosis geniculata,3.43E-05,NA
Zosis geniculata,3.01E-05,NA
Zosis geniculata,2.48E-05,NA
Zosis geniculata,2.86E-05,NA
Zosis geniculata,5.11E-05,NA
Zosis geniculata,5.32E-05,NA
Zosis geniculata,3.48E-05,NA
Zosis geniculata,2.42E-05,NA
Zosis geniculata,2.80E-05,NA
Zosis geniculata,2.74E-05,NA
Zosis geniculata,2.80E-05,NA
Zosis geniculata,3.01E-05,NA
Zosis geniculata,4.43E-05,NA
Zosis geniculata,2.42E-05,NA
Zosis geniculata,4.70E-05,NA
Zosis geniculata,2.45E-05,NA
Zosis geniculata,2.87E-05,NA
Zosis geniculata,2.92E-05,NA
Zosis geniculata,6.37E-05,NA
Zosis geniculata,5.01E-05,NA
Mecynogea lemniscata,4.70E-05,NA
Micrathena sagittata,5.20E-05,NA
Nephila clavipes,0.000848,NA
Amblyomma americanum,3.10E-06,NA
Amblyomma maculatum,4.50E-06,NA
Amblyomma cajenense,7.50E-06,NA
Dermacentor andersoni,2.07E-05,NA
Dermacentor variabilis,5.60E-06,NA
Ornithodoros moubata,1.32E-05,NA
Cilliba cassidea,1.03E-07,NA
Cilliba cassidea,9.71E-08,NA
Epicrius mollis,3.95E-08,NA
Epicrius mollis,5.73E-08,NA
Pergamasus crassipes,2.88E-07,NA
Pergamasus crassipes,3.40E-07,NA
Aphonopelma eutylenum,0.01503,NA
Aphonopelma eutylenum,0.00868,NA
Loxosceles laeta,9.72E-05,NA
Loxosceles laeta,9.61E-05,NA
Loxosceles laeta,0.0001112,NA
Loxosceles laeta,7.62E-05,NA
Loxosceles laeta,0.0001979,NA
Loxosceles laeta,0.0002917,NA
Loxosceles laeta,0.0003279,NA
Loxosceles laeta,0.0001655,NA
Loxosceles laeta,0.0001839,NA
Loxosceles deserta,7.90E-05,NA
Loxosceles deserta,6.32E-05,NA
Plectreurys tristis,0.0003404,NA
Plectreurys tristis,8.10E-05,NA
Plectreurys sp.,6.47E-05,NA
Steatoda medialis,2.43E-05,NA
Latrodectus mactans,0.0003505,NA
Latrodectus mactans,4.82E-05,NA
Latrodectus mactans,0.000169,NA
Frontinella pyramitela,4.60E-06,NA
Frontinella pyramitela,4.80E-06,NA
Frontinella pyramitela,7.60E-06,NA
Cyclosa conica,1.05E-05,NA
Cyclosa conica,1.08E-05,NA
Neoscona oacavensis,0.0001406,NA
Neoscona oacavensis,0.0001931,NA
Argiope aurantia,0.000258,NA
Argiope aurantia,0.000858,NA
Argiope aurantia,0.000853,NA
Agelenopsis aperta,0.0006325,NA
Agelenopsis aperta,0.000715,NA
Agelenopsis aperta,0.0003208,NA
Schizocosa pacifica,0.0005121,NA
Peucetia viridans,0.0001616,NA
Peucetia viridans,0.0001332,NA
Peucetia longipalpis,0.0002574,NA
Zelotes rusticus,5.25E-05,NA
Liocranoides sp.,0.0001455,NA
Misumenoidea formosipes,4.87E-05,NA
Misumenoidea sp.,2.79E-05,NA
Misumenoidea sp.,3.60E-05,NA
Misumenoidea sp.,3.00E-05,NA
Misumenoidea sp.,4.23E-05,NA
Metaphidippus vitis,5.70E-06,NA
Menemerus bivittatus,2.79E-05,NA
Phidippus johnsoni,0.000173,NA
Alaskozeres antarcticus,2.30E-07,NA
Lycosa howarthi,0.0001844,NA
Lycosa sp.,0.000123,NA
Empidonax occidentalis,0.01172,NA
Parus gambeli,0.01165,NA
Certhia americana,0.00747,NA
Sitta canadensis,0.01038,NA
Sitta carolinensis,0.01767,NA
Sialia mexicana,0.02368,NA
Catharus guttatus,0.02907,NA
Turdus migratorius,0.07311,NA
Pipilo chlorurus,0.03025,NA
Junco hyemalis,0.02199,NA
Oreothlypis celata,0.00898,NA
Setophaga coronata,0.01267,NA
Cardellina rubrifrons,0.00999,NA
Piranga ludoviciana,0.0283,NA
Pachycephala hypoxantha,0.02299,NA
Rhipidura albicollis,0.01218,NA
Alophoixus ochraceus,0.04912,NA
Orthotomus cuculatus,0.00713,NA
Urosphena whiteheadi,0.0104,NA
Yuhina everetti,0.01381,NA
Zosterops atricapilla,0.00849,NA
Stachyris nigriceps,0.01567,NA
Trichastoma pyrrogenys,0.01897,NA
Napothera crassa,0.02779,NA
Rhinomyias gularis,0.02558,NA
Brachypteryx montana,0.02027,NA
Enicurus leschenaulti,0.03569,NA
Myophonus borneensis,0.11625,NA
Ficedula hyperythra,0.00844,NA
Aethopyga siparaja,0.00601,NA
Cossypha caffra,0.02999,NA
Erythropygia coryphaeus,0.021,NA
Pycnonotus capensis,0.03436,NA
Prinia maculosa,0.00919,NA
Apalis thoracica,0.01149,NA
Zosterops virens,0.01087,NA
Sphenoeacus afer,0.02805,NA
Sylvietta rufescens,0.01157,NA
Sylvia subcaerulea,0.0132,NA
Serinus flaviventris,0.01605,NA
Serinus albogularis,0.0305,NA
Emberiza capensis,0.0199,NA
Colius colius,0.04521,NA
Telophorus zeylonus,0.06765,NA
Cisticola subruficapilla,0.01015,NA
Anthoscopus minutus,0.0069,NA
Nectarinia chalybea,0.00808,NA
Hirundo tahitica,0.01407,NA
Merops viridis,0.03381,NA
Apteryx owenii,0.666,NA
Apteryx owenii,1.525,NA
Apteryx owenii,1.525,NA
Apteryx australis,1.85,NA
Apteryx australis,3.07,NA
Apteryx australis,2.15,NA
Apteryx australis,2.08,NA
Apteryx australis,2.22,NA
Apteryx australis,2.68,NA
Apteryx haasti,2.21,NA
Apteryx haasti,2.87,NA
Dromaius novaehollandiae,44.61,NA
Dromaius novaehollandiae,38.76,NA
Dromaius novaehollandiae,35.41,NA
Dromaius novaehollandiae,36.92,NA
Psaltriparus minimus,0.0055,NA
Drepanis coccinea,0.015,NA
Himatione sanguinea,0.0129,NA
Loxops virens,0.0107,NA
Loxops parva,0.0079,NA
Amazona viridigenalis,0.3419,NA
Anas crecca,0.25,NA
Anas querquedula,0.289,NA
Aythya nyroca,0.44,NA
Anas penelope,0.539,NA
Anas clypeata,0.554,NA
Aythya fuligula,0.571,NA
Anas acuta,0.721,NA
Anas strepera,0.791,NA
Aythya ferina,0.816,NA
Anas plathyrhynchos,1.236,NA
Netta rufina,1.237,NA
Loriculus galgulus,0.027,NA
Melopsittacus undulatus,0.039,NA
Neophema pulchella,0.04,NA
Neophema bourkii,0.04,NA
Cuculus canorus,0.128,NA
Centropus senegalensis,0.175,NA
Eudynamys scolopacea,0.188,NA
Fulica atra,0.754,NA
Tringa ochropus,0.09,NA
Buteo buteo,1.012,NA
Coturnix chinensis,0.049,NA
Coturnix japonica,0.115,NA
Upupa epops,0.067,NA
Eudyptula minor,0.96,NA
Malurus cyaneus,0.0087,NA
Malurus lamberti,0.0078,NA
Acanthagenys rufogularis,0.0434,NA
Manorina flavigula,0.0411,NA
Meliphaga lewinii,0.0362,NA
Lichenostomus virescens,0.0207,NA
Acanthorhynchus tenuirostris,0.0113,NA
Pardalotus punctatus,0.0078,NA
Sericornis citreogularis,0.0169,NA
Sericornis frontalis,0.0132,NA
Sericornis magnirostris,0.0087,NA
Smicrornis brevirostris,0.0059,NA
Acanthiza pusilla,0.0064,NA
Acanthiza uropygialis,0.0066,NA
Acanthiza chrysorrhoa,0.0083,NA
Acanthiza lineata,0.0073,NA
Pomatostomus superciliosus,0.0361,NA
Pomatostomus ruficeps,0.0454,NA
Eopsaltria australis,0.0192,NA
Psophodes olivaceus,0.061,NA
Pachycephala pectoralis,0.024,NA
Rhipidura fuliginosa,0.0089,NA
Cracticus torquatus,0.0937,NA
Strepera graculina,0.3067,NA
Passer domesticus,0.023,NA
Taeniopygia guttata,0.0117,NA
Neochmia temporalis,0.0096,NA
Pycnonotus jocosus,0.0329,NA
Zosterops lateralis,0.0104,NA
Zoothera lunulata,0.1132,NA
Turdus merula,0.0851,NA
Sturnus vulgaris,0.0575,NA
Acridotheres tristis,0.1023,NA
Eudyptes pachyrhynchus,2.6,NA
Megadyptes antipodes,4.8,NA
Spheniscus humboldti,3.87,NA
Calamospiza melanocorys,0.0326,NA
Pygoscelis adeliae,3.5,NA
Macronectes giganteus,3.98,NA
Macronectes giganteus,3.28,NA
Leucocarbo atriceps,2.66,NA
Stercorarius maccormicki,1.13,NA
Phoebastria immutabilis,2.522,NA
Pterodroma hypoleuca,0.169,NA
Alectoris chukar,0.475,NA
Macronectes giganteus,4.78,NA
Thalassarche chrysostoma,3.753,NA
Phoebetria fusca,2.875,NA
Procellaria aequinoctialis,1.287,NA
Procellaria cinerea,1.014,NA
Pterodroma brevirostris,0.315,NA
Pterodroma mollis,0.274,NA
Pachyptila salvini,0.165,NA
Pelecanoides georgicus,0.127,NA
Aethopyga christinae,0.0052,NA
Cinnyris bifasciatus,0.0062,NA
Aethopyga siparaja,0.0068,NA
Cinnyris venustus,0.0071,NA
Cinnyris cupreus,0.0074,NA
Hedydipna collaris,0.0083,NA
Cyanomitra veroxii,0.0084,NA
Chalcomitra adelberti,0.0095,NA
Chalcomitra amethystina,0.01,NA
Anthreptes orientalis,0.0118,NA
Chalcomitra senegalensis,0.0126,NA
Nectarinia tacazze,0.0135,NA
Nectarinia killmensis,0.0142,NA
Coturnix pectoralis,0.0958,NA
Coturnix chinensis,0.0449,NA
Lichmera indistincta,0.0101,NA
Gliciphila melanops,0.0188,NA
Melithreptus lunatus,0.0143,NA
Phylidonyris novaehollandiae,0.0174,NA
Acanthorhynchus tenuirostris,0.0097,NA
Phylidonyris pyrrhopterus,0.0146,NA
Auriparus flaviceps,0.0068,NA
Spizella arborea,0.0166,NA
Junco hyemalis,0.018,NA
Melospiza melodia,0.0186,NA
Zonotrichia albicollis,0.0236,NA
Passerella iliaca,0.0317,NA
Molothrus ater,0.0337,NA
Corvus cryptoleucus,0.64,NA
Corvus corax,0.866,NA
Excalfactoria chinensis,0.0427,NA
Colinus virginianus,0.194,NA
Leptotila verreauxi,0.131,NA
Ceratopipra mentalis,0.0145,NA
Manacus vitellinus,0.0182,NA
Manacus vitellinus,0.015,NA
Xiphorhynchus guttatus,0.0452,NA
Thamnophilus punctatus,0.021,NA
Lonchura malacca,0.0118,NA
Lonchura maja,0.0128,NA
Passer montanus,0.0175,NA
Pycnonotus goiavier,0.0286,NA
Arachnothera longirostra,0.013,NA
Copsychus saularis,0.0335,NA
Pycnonotus finlaysoni,0.0263,NA
Malacopteron cinereum,0.0158,NA
Alophoixus bres,0.035,NA
Arachnothera flavigaster,0.0363,NA
Hypothymis azurea,0.0108,NA
Chloropsis sonnerati,0.0397,NA
Cacomantis variolosus,0.0238,NA
Lanius cristatus,0.0268,NA
Acrocephalus arundinaceus,0.0269,NA
Acrocephalus bistrigiceps,0.0219,NA
Larvivora cyane,0.0079,NA
Otus scops,0.0134,NA
Melanerpes formicivorus,0.0784,NA
Melanerpes formicivorus,0.0867,NA
Melanerpes formicivorus,0.0845,NA
Melanerpes formicivorus,0.0794,NA
Callipepla gambelii,0.145,NA
Callipepla gambelii,0.145,NA
Ardenna pacificus,0.3378,NA
Puffinus nativitatis,0.3076,NA
Pterodroma hypoleuca,0.1674,NA
Bulweria bulwerii,0.087,NA
Phaethon rubricauda,0.5932,NA
Onychoprion lunatus,0.1317,NA
Gygis alba,0.0981,NA
Anous minutus,0.0902,NA
Ocreatus underwoodii,0.0027,NA
Chlorostilbon mellisugus,0.0029,NA
Orthorhyncus cristatus,0.0029,NA
Orthorhyncus cristatus,0.0029,NA
Archilochus alexandri,0.0029,NA
Archilochus alexandri,0.0032,NA
Chaetocercus mulsant,0.0033,NA
Urosticte benjamini,0.0039,NA
Trochilus scitulus,0.004,NA
Chrysuronia oenone,0.005,NA
Florisuga mellivora,0.0069,NA
Aglaeactis cupripennis,0.0072,NA
Boissonneaua matthewsii,0.0072,NA
Anthracothorax nigricollis,0.0077,NA
Eugenes fulgens,0.0079,NA
Lampornis clemenciae,0.008,NA
Lampornis clemenciae,0.0083,NA
Oreotrochilus estella,0.0085,NA
Oreotrochilus estella,0.0089,NA
Eulampis jugularis,0.0095,NA
Patagona gigas,0.0175,NA
Onychoprion fuscatus,0.1504,NA
Struthio camelus,95.4,NA
Requena verticalis,0.000371,NA
Fidicina mannifera,0.00284,NA
Blaberus giganteous,0.00433,NA
Aphodius fossor,0.0001213,NA
Paraponera clavata,0.00019,NA
Onymacris plana,0.000691,NA
Onymacris plana,0.000687,NA
Physadesmia globosa,0.000652,NA
Physadesmia globosa,0.000743,NA
Physosterna cribripes,0.001226,NA
Physosterna cribripes,0.001285,NA
Physosterna cribripes,0.001226,NA
Epiphysa arenicola,0.001187,NA
Pantophthalmus tabaninus,0.001746,NA
Sisyphus fasciculatus,0.000136,NA
Scarabaeus rusticus,0.000564,NA
Anachalcos convexus,0.001421,NA
Scarabaeus flavicornis,0.000322,NA
Scarabaeus bacchus,0.007285,NA
Helius waitei,0.000716,NA
Helius waitei,0.000672,NA
Helius waitei,0.000704,NA
Helius waitei,0.000757,NA
Helius waitei,0.000716,NA
Pterohelaeus sp.,0.000252,NA
Pterohelaeus sp.,0.000245,NA
Pterohelaeus sp.,0.000229,NA
Pterohelaeus sp.,0.000258,NA
Pterohelaeus sp.,0.00025,NA
Cerotalis sp.,0.000607,NA
Cerotalis sp.,0.000562,NA
Cerotalis sp.,0.000552,NA
Cerotalis sp.,0.00056,NA
Cerotalis sp.,0.000558,NA
Carenum sp.,0.00461,NA
Carenum sp.,0.00424,NA
Carenum sp.,0.00439,NA
Carenum sp.,0.00343,NA
Callipepla californica,0.1496,NA
Callipepla californica,0.1274,NA
Ostrinia nubilalis,4.00E-05,NA
Ostrinia nubilalis,6.65E-05,NA
Ostrinia nubilalis,3.36E-05,NA
Ostrinia nubilalis,6.22E-05,NA
Ostrinia nubilalis,3.28E-05,NA
Ostrinia nubilalis,5.65E-05,NA
Periplaneta americana,0.00073,NA
Blaberus discoidalis,0.00408,NA
Gromphadorhina chopardi,0.0034,NA
Eublaberus posticus,0.0022,NA
Byrsotria fumagata,0.00495,NA
Camponotus herculeanus,7.48E-06,NA
Camponotus herculeanus,1.04E-05,NA
Formica fusca,1.46E-06,NA
Formica fusca,1.23E-06,NA
Myrmica alaskensis,1.15E-06,NA
Myrmica alaskensis,6.70E-07,NA
Leptothorax acerovorum,3.70E-07,NA
Pogonomymex maricopa,3.78E-06,NA
Aphaenogaster cockerelli,4.72E-06,NA
Camponotus vafer,4.51E-06,NA
Forelius foetidus,1.00E-07,NA
Camponotus sp.,1.54E-05,NA
Camponotus laevigatus,1.92E-05,NA
Formica occulta,1.30E-06,NA
Lasius sitiens,2.90E-07,NA
Anthia babaulti,0.001295,NA
Cypholoba bihamata,0.000245,NA
Cypholoba tenuicollis,5.90E-05,NA
Cypholoba tetrastigma,0.000132,NA
Cypholoba trilunata,0.000213,NA
Cypholoba sp.,0.000192,NA
Chilanthia cavernosa,0.001026,NA
Anthia hexastictum,0.002025,NA
Cypholoba chanleri,0.000326,NA
Crepidogaster bioculata,0.000171,NA
Triaenogenius sculpturatus,0.00017,NA
Calosoma chlorostictum,0.000521,NA
Calosoma indet,7.90E-05,NA
Phrynocolus petrosus,0.001109,NA
Phrynocolus sp.,0.000204,NA
Vieta muscosa,0.00014,NA
Pimelia cenchronota,0.001474,NA
Adesmia baccata,0.000407,NA
Rhytinota praelonga,0.000105,NA
Zophosis congesta,1.10E-05,NA
Peristeptus sp.,5.50E-05,NA
Phrynocolus auriculatus,0.000193,NA
Vieta bulbifera,0.000479,NA
Nauphoeta cinerea,0.000515,NA
Stenodontes molaria,0.001798,NA
