Species,BodyMass,Longevity
Quiscalus major,146.2,12.9
Quiscalus mexicanus,146.8,12.5
Quiscalus quiscula,103,22.9
Rallus elegans,104.5,NA
Rallus limicola,81.2,NA
Rallus longirostris,279.6,7.5
Recurvirostra americana,332.9,9.583333333
Regulus calendula,6.2,5.6
Regulus satrapa,5.7,5.316666667
Rhynchophanes mccownii,26.1,NA
Riparia riparia,15.1,8
Rynchops niger,302.3,20
Salpinctes obsoletus,16.3,NA
Sayornis nigricans,18.3,8
Sayornis phoebe,20.5,9.1
Sayornis saya,21.8,5
Scolopax minor,157.6,10.31666667
Seiurus aurocapilla,18.5,9
Selasphorus calliope,2.5,6.1
Selasphorus platycercus,3,12.1
Selasphorus rufus,3.2,8.9
Selasphorus sasin,3.4,4
Setophaga americana,7.8,5.366666667
Setophaga caerulescens,10.5,9.683333333
Setophaga castanea,13.3,4.9
Setophaga cerulea,10.6,6
Setophaga citrina,10.8,8
Setophaga coronata,13.1,6.908333333
Setophaga discolor,7.8,10.3
Setophaga dominica,9.8,5.1
Setophaga fusca,9.8,8.2
Setophaga graciae,7.9,NA
Setophaga magnolia,8.9,6.917
Setophaga nigrescens,8.4,NA
Setophaga occidentalis,9.5,9.1
Setophaga palmarum,10.2,6.591666667
Setophaga pensylvanica,9.8,6.916666667
Setophaga petechia,9.5,8.916833333
Setophaga pinus,12.3,6.8
Setophaga ruticilla,8.1,10
Setophaga striata,13,5
Setophaga tigrina,11.1,4.3
Setophaga townsendi,9.4,6.65
Setophaga virens,9.5,5.916833333
Sialia currucoides,29.4,9
Sialia mexicana,26.2,5.2
Sialia sialis,29.8,8
Sitta canadensis,10.2,7.5
Sitta carolinensis,17.6,9.833333333
Sitta pusilla,10.3,5.8
Sitta pygmaea,10.5,8.2
Somateria mollissima,2041.5,37.8
Spatula clypeata,533,NA
Spatula cyanoptera,353.4,NA
Spatula discors,250,NA
Sphyrapicus nuchalis,45.6,6.8
Sphyrapicus ruber,48.1,6.8
Sphyrapicus thyroideus,50,NA
Sphyrapicus varius,50.1,6.8
Spinus lawrencei,10.1,NA
Spinus pinus,12.4,9.4
Spinus psaltria,9,5.7
Spinus tristis,12.2,10.70833333
Spiza americana,28.8,4.833333333
Spizella atrogularis,11.1,NA
Spizella breweri,10.8,5.2
Spizella pallida,11.1,6
Spizella passerina,12.1,9.8
Spizella pusilla,13,8.8
Spizelloides arborea,16.8,10.75
Stelgidopteryx serripennis,15.4,5.916666667
Stercorarius parasiticus,97.8,24.58333333
Sterna forsteri,137.8,12
Sterna hirundo,124.4,33
Sternula antillarum,38.9,23.917
Strix nebulosa,1133.5,15.817
Strix varia,749,18.2
Sturnella magna,97.6,11.66666667
Sturnella neglecta,102.2,10
Surnia ulula,312.3,10
Tachycineta bicolor,18.9,11
Tachycineta thalassina,15,6.8
Thalasseus maximus,442.5,NA
Thryomanes bewickii,9.8,8
Thryothorus ludovicianus,18.8,6.1
Toxostoma bendirei,56.5,4.2
Toxostoma crissale,62.3,4.4
Toxostoma curvirostre,79.5,10.8
Toxostoma lecontei,61.7,5.7
Toxostoma longirostre,69,7.3
Toxostoma redivivum,92.2,6.9
Toxostoma rufum,71.3,12.8
Tringa flavipes,92.6,4.75
Tringa melanoleuca,178.8,NA
Tringa semipalmata,279,NA
Tringa solitaria,57.7,NA
Troglodytes aedon,10.2,7.1
Troglodytes hiemalis,8.9,6.166666667
Troglodytes pacificus,8.8,5.833333333
Turdus migratorius,81,13.91666667
Tympanuchus cupido,882.4,5
Tympanuchus phasianellus,784.2,6.316666667
Tyrannus couchii,52.6,NA
Tyrannus forficatus,39.5,NA
Tyrannus tyrannus,41.7,9.916666667
Tyrannus verticalis,39.4,6.9
Tyrannus vociferans,45.4,NA
Tyto alba,403.6,15.41666667
Vermivora chrysoptera,9.7,7.9
Vermivora cyanoptera,8.5,7.916666667
Vireo bellii,9.6,6.917
Vireo cassinii,14.4,7.416666667
Vireo flavifrons,16.9,6.1
Vireo gilvus,11.5,13.1
Vireo griseus,11,7.3
Vireo huttoni,10.9,6.5
Vireo olivaceus,17.2,10
Vireo philadelphicus,12.4,8.833333333
Vireo plumbeus,16.7,7.408333333
Vireo solitarius,16.8,7.416666667
Vireo vicinior,12.3,6
Xanthocephalus xanthocephalus,73.8,11.67
Zenaida asiatica,162.8,25
Zenaida macroura,112.5,31.33333333
Zonotrichia albicollis,27,9.7
Zonotrichia atricapilla,32.1,10.5
Zonotrichia leucophrys,26.9,13.3
Spizella passerina,12.3,11.8
Zonotrichia leucophrys,27.96,13.34
Pheucticus ludovicianus,45.1,24
Calidris mauri,26.72,9.2
Parkesia noveboracensis,17,8.92
Tachybaptus dominicus,127.26,7.42
Tyrannus verticalis,39.6,6.92
Myiarchus crinitus,33.28,14.92
Vireo olivaceus,16.85,10.2
Passerculus sandwichensis,20.2,6.92
Spiza americana,26.9,4.83
Calidris fuscicollis,44.55,7
Cathartes aura,1776,20.8
Progne subis,51.45,13.8
Melanerpes erythrocephalus,71.6,10
Tringa flavipes,81.7,4.8
Parkesia motacilla,20.83,11.92
Junco hyemalis,19.48,11.33
Megascops asio,175,20.7
Icterus cucullatus,24.3,6
Calidris maritima,69.48,20.75
Numenius phaeopus,383,16.1
Myadestes townsendi,33.48,NA
Catharus fuscescens,31.93,10.1
Falco columbarius,187.58,16
Loxia curvirostra,39.5,16.08
Loxia leucoptera,29.8,4
Spinus pinus,13.05,11
Euphagus carolinus,60.4,8.8
Ramphastos sulfuratus,430,NA
Contopus virens,13.95,8.2
Riparia riparia,13.4,10
Larus occidentalis,931.5,33.92
Polioptila caerulea,6.13,4.2
Numenius americanus,635.75,10
Spizella pusilla,12.8,10.33
Accipiter gentilis,988.75,22
Setophaga coronata,12.55,8.75
Tachycineta bicolor,20.8,12.1
Scolopax minor,196.25,20.9
Catharus guttatus,30.55,10.83
Butorides virescens,212,11.6
Troglodytes hiemalis,9.23,7
Tringa solitaria,48.5,NA
Icterus spurius,20.05,10.92
Corvus corax,1097,69
Acanthis flammea,13,25
Vireo philadelphicus,12.03,9.83
Bonasa umbellus,532,11
Pipilo erythrophthalmus,40.3,12.3
Geothlypis formosa,14.12,7
Buteo lineatus,616,22.42
Vireo solitarius,15.56,7.42
Troglodytes aedon,11,9
Caryothraustes poliogaster,37.65,NA
Empidonax minimus,10.28,8
Megaceryle alcyon,152.17,NA
Lepidocolaptes affinis,35,6.08
Arremonops conirostris,37.2,NA
Pionus senilis,212.34,NA
Dendrocincla fuliginosa,40.73,11.42
Micrastur ruficollis,170.25,NA
Oreothlypis peregrina,NA,NA
Stelgidopteryx serripennis,15.8,5.92
Anthus rubescens,21.18,8.92
Pipilo maculatus,39.85,12.3
Thryothorus ludovicianus,19.57,9.2
Crotophaga sulcirostris,80,NA
Plectrophenax nivalis,40.33,9.6
Larus fuscus,1010.25,49
Actitis macularius,41.86,12
Toxostoma rufum,68.65,12.83
Myiarchus cinerascens,28.2,11.92
Empidonax virescens,12.7,12.08
Passerina caerulea,28.4,10.2
Cardellina canadensis,10.35,8
