Species,BodyMass,Longevity
Angiopolybia ischkai,NA,NA
Angiopolybia ischkai,NA,NA
Angiopolybia ischkai,NA,NA
Angiopolybia ischkai,NA,NA
Angiopolybia ischkai,NA,NA
Apoica pallens,NA,NA
Apoica pallens,NA,NA
Apoica pallens,NA,NA
Apoica pallens,NA,NA
Apoica pallens,NA,NA
Apoica pallens,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Brachygastra smithii,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Charterginus fulvus,NA,NA
Leipomeles dorsata,NA,NA
Leipomeles dorsata,NA,NA
Leipomeles dorsata,NA,NA
Leipomeles dorsata,NA,NA
Leipomeles dorsata,NA,NA
Leipomeles dorsata,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Nectarinella championi,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Parachartergus smithii,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia aequatorialis,NA,NA
Polybia dimidiata,NA,NA
Polybia dimidiata,NA,NA
Polybia dimidiata,NA,NA
Polybia dimidiata,NA,NA
Polybia dimidiata,NA,NA
Polybia dimidiata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia emaciata,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia flavitincta,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia jurinei,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia plebeja,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia raui,NA,NA
Polybia rejecta,NA,NA
Polybia rejecta,NA,NA
Polybia rejecta,NA,NA
Polybia rejecta,NA,NA
Polybia rejecta,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Polybia richardsi,NA,NA
Protopolybia exigua,NA,NA
Protopolybia exigua,NA,NA
Protopolybia exigua,NA,NA
Protopolybia exigua,NA,NA
Protopolybia exigua,NA,NA
Protopolybia exigua,NA,NA
Synoeca septentrionalis,NA,NA
Synoeca septentrionalis,NA,NA
Synoeca septentrionalis,NA,NA
Synoeca septentrionalis,NA,NA
Synoeca septentrionalis,NA,NA
Synoeca septentrionalis,NA,NA
Synoeca septentrionalis,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Bombus impatiens,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Apis mellifera,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes fuscatus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes flavus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Polistes dominulus,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Formica subsericea,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Oecophylla smaragdina,NA,NA
Heliconius himera,NA,NA
Heliconius erato,NA,NA
Acrotrichis grandicollis,NA,NA
Nanosella sp.,NA,NA
Bombus impatiens,0.0002795,NA
Apis mellifera,8.40E-05,NA
Acromyrmex echinatior,1.15E-05,NA
Apterostigma sp.1,6.24E-07,NA
Apterostigma sp.2,7.37E-07,NA
Apterostigma sp.3,2.38E-06,NA
Atta colombica,2.50E-05,NA
Cyphomyrmex cornutus,3.90E-07,NA
Cyphomyrmex longiscapus,3.88E-07,NA
Cyphomyrmex muelleri,5.32E-07,NA
Cyphomyrmex sp.,4.10E-07,NA
Mycetophylax sp.,1.49E-06,NA
Mycocepurus smithii,3.20E-07,NA
Myrmicocrypta ednaella,3.20E-07,NA
Sericomyrmex sp.,1.32E-06,NA
Trachymyrmex coniktzi,9.01E-07,NA
Trachymyrmex coniktzi,1.24E-06,NA
Trachymyrmex sp.1,1.18E-06,NA
Trachymyrmex sp.2,2.26E-06,NA
Trachymyrmex zeteki,2.13E-06,NA
Cephalotes atratus,3.18E-05,NA
Cephalotes sp.,7.36E-06,NA
Cephalotes umbraculatus,7.98E-06,NA
Crematogaster sp.,7.95E-07,NA
Megalomyrmex sp.1,1.37E-07,NA
Megalomyrmex sp.2,1.19E-06,NA
Monomorium floricola,6.50E-08,NA
Monomorium trageri,1.01E-07,NA
Pheidole obscurithorax,5.54E-07,NA
Pheidole sp.1,9.30E-08,NA
Pheidole sp.2,2.34E-07,NA
Pheidole sp.3,6.90E-08,NA
Pheidole sp.4,1.02E-07,NA
Pheidole sp.5,2.54E-07,NA
Pheidole sp.6,1.22E-07,NA
Pheidole sp.7,1.03E-06,NA
Pheidole sp.8,1.16E-06,NA
Pheidole sp.9,5.29E-07,NA
Pogonomyrmex badius,2.19E-05,NA
Solenopsis sp.1,9.85E-08,NA
Solenopsis sp.2,4.73E-07,NA
Wasmannia aurpunctata,1.09E-07,NA
Ectatomma ruidum,1.05E-05,NA
Ectatomma tuberculatum,1.85E-05,NA
Gnamptogenys sp.1,5.76E-07,NA
Gnamptogenys sp.2,9.87E-06,NA
Azteca sp.1,7.17E-07,NA
Azteca sp.2,1.74E-06,NA
Dolichoderus sp.,4.58E-06,NA
Tapinoma melanocephalum,1.32E-07,NA
Brachymyrmex sp.1,4.40E-08,NA
Brachymyrmex sp.2,7.45E-08,NA
Camponotus sericeiventris,3.74E-05,NA
Camponotus sp.1,5.05E-06,NA
Camponotus sp.2,2.21E-05,NA
Camponotus sp.3,2.57E-05,NA
Paratrechina longicornis,3.42E-07,NA
Eciton burchellii,1.74E-05,NA
Nomamyrmex sp.,1.19E-05,NA
Odontomachus bauri,1.58E-05,NA
Odontomachus brunneus,6.19E-06,NA
Odontomachus hastatus,2.53E-05,NA
Pachycondyla apicalis,4.07E-05,NA
Pachycondyla obscuricornis,1.52E-05,NA
Pachycondyla sp.1,9.70E-06,NA
Pachycondyla sp.2,4.48E-06,NA
Pachycondyla sp.3,2.72E-06,NA
Pachycondyla villosa,4.64E-05,NA
Paraponera clavata,0.000168785,NA
Pseudomyrmex sp.1,2.89E-06,NA
Pseudomyrmex sp.2,4.99E-07,NA
Pseudomyrmex sp.3,5.23E-06,NA
Ephestia kuehniella,NA,NA
Mamestra brassicae,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Cephalotes varians,NA,NA
Heliothis virescens,NA,NA
Birgus latro,NA,NA
Arctocephalus australis,NA,NA
Arctocephalus forsteri,NA,NA
Arctocephalus galapagoensis,NA,NA
Arctocephalus gazella,NA,NA
Arctocephalus philippii,NA,NA
Arctocephalus pusillus,NA,NA
Arctocephalus tropicalis,NA,NA
Callorhinus ursinus,NA,NA
Cystophora cristata,NA,NA
Eumetopias jubatus,NA,NA
Halichoerus grypus,NA,NA
Hydrurga leptonyx,NA,NA
Leptonychotes weddellii,NA,NA
Lobodon carcinophagus,NA,NA
Mirounga leonina,NA,NA
Monachus monachus,NA,NA
Monachus schauinslandi,NA,NA
Monachus tropicalis,NA,NA
Neophoca cinerea,NA,NA
Odobenus rosmarus,NA,NA
Ommatophoca rossii,NA,NA
Otaria byronia,NA,NA
Phoca caspica,NA,NA
Phoca fasciata,NA,NA
Phoca groenlandica,NA,NA
Phoca hispida,NA,NA
Phoca largha,NA,NA
Phoca sibirica,NA,NA
Phoca vitulina,NA,NA
Phocarctos hookeri,NA,NA
Zalophus californianus,NA,NA
Alouatta palliata,6.917,NA
Alouatta palliata,7.8245,NA
Alouatta palliata,7.2575,NA
Alouatta palliata,7.031,NA
Alouatta palliata,7.484,NA
Alouatta palliata,7.2575,NA
Alouatta palliata,7.031,NA
Ateles geoffroyi,2.268,NA
Ateles geoffroyi,1.835,NA
Ateles geoffroyi,2.268,NA
Ateles geoffroyi,1.92,NA
Ateles geoffroyi,2.155,NA
Saguinus oedipus,0.37,NA
Saguinus oedipus,0.37,NA
Aotus trivirgatus,0.63,NA
Aotus trivirgatus,0.72,NA
Saimiri sciureus,0.58,NA
Saimiri sciureus,0.72,NA
Cebus albifrons,1.47,NA
Cebus albifrons,1.77,NA
Cebus apella,1.81,NA
Cebus apella,2.77,NA
Ateles geoffroyi,4.68,NA
Ateles geoffroyi,4.76,NA
Ateles paniscus,5.22,NA
Ateles paniscus,5.04,NA
Chlorocebus aethiops,3.22,NA
Chlorocebus aethiops,5.23,NA
Macaca fascicularis,3.36,NA
Macaca fascicularis,4.74,NA
Macaca mulatta,4.88,NA
Macaca mulatta,5.21,NA
Macaca arctoides,7.45,NA
Macaca arctoides,7.81,NA
Papio anubis,12.9,NA
Papio anubis,16.06,NA
Rattus sp.,0.179,NA
Meriones unguiculatus,0.054,NA
Mus sp.,0.024,NA
Cryptoprocta ferox,9.5,NA
Atilax paludinosus,3.3,NA
Herpestes urva,1.863,NA
Paracynictis selousi,1.64,NA
Conepatus chinga,1.918,NA
Conepatus leuconotus,3.5,NA
Mephitis mephitis,1.7,NA
Mydaus marchei,1.414,NA
Spilogale gracilis,0.42,NA
Spilogale putorius,0.341,NA
Galictis cuja,1,NA
Ictonyx striatus,1.3,NA
Mellivora capensis,9,NA
Mustela erminea,0.156,NA
Poecilogale albinucha,0.34,NA
Taxidea taxus,6,NA
Vormela peregusna,0.45,NA
Bassaricyon alleni,1.235,NA
Paguma larvata,4.3,NA
Viverra tangalunga,10,NA
Euphractus sexcinctus,7.99,NA
Tolypeutes matacus,1.2,NA
Zaedyus pichiy,1.74,NA
Atelerix albiventris,0.28,NA
Echinosorex gymnura,0.957,NA
Mesechinus dauuricus,0.342,NA
Manis pentadactyla,4.675,NA
Manis tricuspis,2.067,NA
Clyomys laticeps,0.201,NA
Echimys chrysurus,0.652,NA
Makalata didelphoides,0.108,NA
Makalata macrura,0.439,NA
Mesomys hispidus,0.175,NA
Proechimys brevicauda,0.285,NA
Coendou prehensilis,4.4,NA
Coendou rothschildi,2,NA
Sphiggurus vestitus,0.736,NA
Atherurus macrourus,2,NA
Hystrix africaeaustralis,14.936,NA
Hystrix brachyura,8,NA
Hystrix cristata,20,NA
Hystrix indica,14.65,NA
Hystrix sumatrae,3.26,NA
Trichys fasciculata,1.56,NA
Saguinus oedipus,0.32714,NA
Ursus arctos,131.02267,NA
Pan troglodytes,60.43316,NA
Saguinus geoffroyi,0.63467,NA
Panthera tigris,195,NA
Tamandua tetradactyla,4.361,NA
Pongo pygmaeus,54.22904,NA
Hylobates muelleri,5.95488,NA
Hylobates syndactylus,12.172,NA
Gorilla gorilla,120.975,NA
Damaliscus pygargus,62.5,NA
Homo sapiens,65.14286,NA
Rhynchocyon petersi,0.37,NA
Cercocebus agilis,4.7,NA
Mandrillus sphinx,11.5,NA
Saimiri boliviensis,0.75,NA
Trachypithecus francoisi,9.1,NA
Colobus guereza,10.28125,NA
Colobus angolensis,9.67,NA
Tragelaphus eurycerus,253,NA
Tarsius bancanus,0.0776,NA
Nycticebus pygmaeus,0.48,NA
Choloepus didactylus,5.07,NA
Macropus parma,3.76,NA
Wallabia bicolor,16.4,NA
Nycticebus coucang,0.6555,NA
Perodicticus potto,0.92933,NA
Macaca maura,6.846,NA
Leontopithecus rosalia,0.51238,NA
Alouatta caraya,5.0125,NA
Lemur catta,2.09,NA
Erythrocebus patas,7.376,NA
Callithrix pygmaea,0.13475,NA
Loris tardigradus,0.322,NA
Cheirogaleus medius,0.17967,NA
Dasyurus spartacus,0.487,NA
Thylamys pallidior,0.0207,NA
Petaurus biacensis,0.0845,NA
Petaurus abidi,0.284,NA
Phalanger rothschildi,1.244,NA
Strigocuscus pelengensis,0.991,NA
Phalanger intercastellanus,1.434,NA
Spilocuscus kraemeri,1.547,NA
Rhynchomeles prattorum,0.907,NA
Planigale tenuirostris,0.0039,NA
Planigale ingrami,0.0041,NA
Planigale gilesi,0.0061,NA
Planigale maculata,0.0067,NA
Ningaui ridei,0.004,NA
Ningaui yvonneae,0.0078,NA
Planigale novaeguineae,0.0086,NA
Sminthopsis virginiae,0.0105,NA
Sminthopsis bindi,0.0136,NA
Sminthopsis douglasi,0.0171,NA
Sminthopsis crassicaudata,0.0133,NA
Sminthopsis macroura,0.017,NA
Sminthopsis hirtipes,0.009,NA
Sminthopsis leucopus,0.0124,NA
Parantechinus roryi,0.0166,NA
Sminthopsis murina,0.0159,NA
Antechinomys laniger,0.0178,NA
Sminthopsis griseoventer,0.0198,NA
Parantechinus macdonnellensis,0.024,NA
Parantechinus rosamondae,0.0199,NA
Antechinus agilis,0.0221,NA
Antechinus bellus,0.0458,NA
Antechinus flavipes,0.0307,NA
Parantechinus bilarni,0.0294,NA
Antechinus melanurus,0.0258,NA
Antechinus subtropicus,0.0291,NA
Antechinus minimus,0.0363,NA
Antechinus leo,0.0602,NA
Antechinus stuartii,0.0298,NA
Antechinus naso,0.0363,NA
Phascogale calura,0.0438,NA
Antechinus swainsonii,0.0635,NA
Murexia rothschildi,0.062,NA
Phascolosorex dorsalis,0.0475,NA
Parantechinus apicalis,0.0605,NA
Dasycercus cristicauda,0.07,NA
Dasyuroides byrnei,0.0984,NA
Murexia longicaudata,0.2965,NA
Phascogale tapoatafa,0.15,NA
Myoictis melas,0.1311,NA
Neophascogale lorentzi,0.2064,NA
Dasyurus hallucatus,0.513,NA
Dasyurus albopunctatus,0.403,NA
Myrmecobius fasciatus,0.4054,NA
Dasyurus geoffroii,0.76,NA
Dasyurus viverrinus,0.813,NA
Dasyurus maculatus,2.599,NA
Sarcophilus harrisii,7.43,NA
Thylacinus cynocephalus,28.496,NA
Marmosa elegans,0.0201,NA
Thylamys elegans,0.025,NA
Monodelphis brevicaudata,0.0646,NA
Marmosa mexicana,0.0467,NA
Marmosa murina,0.06,NA
Marmosa rubra,0.06,NA
Caluromys derbianus,0.289,NA
Caluromys philander,0.277,NA
Metachirus nudicaudatus,0.39,NA
Philander opossum,0.57,NA
Didelphis marsupialis,2.842,NA
Didelphis virginiana,2.797,NA
Cercartetus concinnus,0.0095,NA
Acrobates pygmaeus,0.0089,NA
Cercartetus lepidus,0.0078,NA
Tarsipes rostratus,0.009,NA
Cercartetus nanus,0.012,NA
Cercartetus caudatus,0.0193,NA
Distoechurus pennatus,0.0454,NA
Burramys parvus,0.0366,NA
Pseudochirulus canescens,0.141,NA
Pseudochirulus mayeri,0.125,NA
Petaurus breviceps,0.0891,NA
Pseudochirulus schlegeli,0.246,NA
Gymnobelideus leadbeateri,0.0905,NA
Petaurus norfolcensis,0.191,NA
Hemibelideus lemuroides,0.496,NA
Pseudochirulus caroli,0.44,NA
Pseudochirulus forbesi,0.523,NA
Pseudochirulus herbertensis,0.9,NA
Dactylonax tatei,0.252,NA
Pseudocheirus peregrinus,0.526,NA
Pseudochirops albertisii,0.713,NA
Petauroides volans,0.9,NA
Petropseudes dahli,2,NA
Pseudochirops coronatus,1.5,NA
Pseudochirops corinnae,0.943,NA
Petaurus australis,0.39,NA
Dactylonax trivirgata,0.506,NA
Pseudochirops archeri,0.678,NA
Phalanger lullulae,1.4,NA
Potorous platyops,0.8,NA
Dactylonax palpator,0.474,NA
Lagostrophus fasciatus,0.773,NA
Phalanger ornatus,1.448,NA
Phalanger orientalis,1.485,NA
Pseudochirops cupreus,1.021,NA
Lagorchestes hirsutus,1.05,NA
Phalanger mimicus,1.473,NA
Phalanger carmelitae,1.754,NA
Bettongia tropica,1.015,NA
Potorous tridactylus,1.283,NA
Phalanger vestitus,1.85,NA
Bettongia penicillata,0.981,NA
Phalanger sericeus,1.896,NA
Wyulda squamicaudata,1.5,NA
Onychogalea lunata,1.313,NA
Bettongia lesueur,1.105,NA
Petrogale concinna,1.407,NA
Trichosurus vulpecula,1.902,NA
Bettongia gaimardi,1.273,NA
Dorcopsulus vanheurni,1.546,NA
Trichosurus caninus,2.515,NA
Aepyprymnus rufescens,1.693,NA
Lagorchestes leporides,1.598,NA
Phalanger gymnotis,3.264,NA
Spilocuscus maculatus,3.127,NA
Dorcopsulus macleayi,2.5,NA
Setonix brachyurus,1.931,NA
Lagorchestes conspicillatus,2.015,NA
Onychogalea fraenata,3.484,NA
Petrogale brachyotis,2.494,NA
Dorcopsis atrata,6.333,NA
Onychogalea unguifera,5.242,NA
Spilocuscus rufoniger,6.181,NA
Petrogale mareeba,3.186,NA
Petrogale inornata,2.262,NA
Thylogale brunii,5,NA
Petrogale assimilis,2.765,NA
Thylogale stigmatica,4.416,NA
Petrogale godmani,3.276,NA
Thylogale browni,3.742,NA
Dendrolagus bennettianus,2.078,NA
Macropus parma,3.557,NA
Petrogale lateralis,3.61,NA
Thylogale thetis,3.694,NA
Phascolarctos cinereus,5.888,NA
Dorcopsis muelleri,5.4,NA
Dorcopsis luctuosa,7.392,NA
Petrogale herberti,3.977,NA
Petrogale persephone,5.732,NA
Thylogale billardieri,3.618,NA
Dorcopsis hageni,6.43,NA
Petrogale xanthopus,4.65,NA
Macropus eugenii,4.425,NA
Petrogale penicillata,5.99,NA
Macropus irma,4.684,NA
Macropus greyi,9.016,NA
Dendrolagus lumholtzi,4.366,NA
Dendrolagus ursinus,5.009,NA
